author_set,quantity
"hue ondricka i, lewis boehm, yesenia raynor dds",48
"charlsie cummerata, laureen herzog, rep. bridgett rosenbaum",48
earnest glover,47
chara morissette,46
beverly mcdermott,46
gov. crystle klocko,46
"franklyn stokes vm, timmy corwin",46
sen. geri mann,45
"ja ankunding ii, joseph raynor",45
"elmer parker, mireya schroeder",44
floyd cassin iii,44
sean kassulke,44
"roman koss, sook halvorson",44
"blair casper, ms. rodger hoppe",44
pres. donya west,43
les rogahn,43
"enrique gislason, glenna huel",42
elenor langosh,42
fr. dick spinka,42
"catrina roob phd, delois koss, sid oberbrunner",41
latrina kuphal,41
felicita white do,41
lawrence hauck,41
"the hon. kylee rempel, tomasa kozey",41
reid rice,41
lakenya boyer iv,40
mitch gusikowski,40
"darius mohr, kevin mayer, kimberely kutch",40
salvatore mills,40
alec ziemann,39
josette nikolaus dc,39
odell willms,38
dr. deb kemmer,38
leighann o'connell,38
sue stark,38
allan dickinson,38
selena schroeder,37
irmgard bogan i,37
marlon casper,36
carolyn yost,36
bennett raynor,36
reuben mayert,36
robby powlowski,36
"haley nader, shanta price",36
elmer parker,36
roland murray,35
dominique sipes,35
"alina collier esq., darius mohr, kevin mayer, kimberely kutch",34
zachary ryan,34
jimmie harvey,34
"nick ziemann, zackary carter",34
veronique carter,34
"alina collier esq., dennis heaney, soledad hickle",34
"anton toy, tabetha johnston",33
dr. emmaline ritchie,33
"clyde jacobson, jerald raynor",33
"boyce hoeger, marlon casper",33
valery schimmel,32
gonzalo macejkovic,32
mireya schroeder,32
mellie williamson,32
"merrill marks, renee rogahn",32
msgr. mohammad koelpin,31
"phil hettinger ret., verna skiles",30
"franklyn stokes vm, ja ankunding ii, joseph raynor",30
lakesha mccullough,30
danilo zieme,30
rocky erdman,30
boyce hoeger,30
billy dare,30
"charlsie cummerata, laureen herzog, rep. bridgett rosenbaum, richie gislason",30
maura kuvalis dc,30
sen. jackson gutmann,29
"sen. jackson gutmann, shelby willms iv",29
"deborah grant, roman osinski sr., shanti hand",28
"korey rice v, rico zemlak",28
prof. augustus konopelski,28
ria senger,28
louanne cruickshank,27
quintin o'kon,27
"amb. elia lebsack, bernard bayer, edmundo oberbrunner, jerry cormier",27
clyde jacobson,27
"brandi cole, veronique carter",26
verna skiles,25
abigail reynolds,25
beatris upton,25
tabetha johnston,25
pres. shana block,25
bob treutel dds,24
"hue ondricka i, lewis boehm, rosalva beer, yesenia raynor dds",24
raul hoppe,23
elias o'kon,23
phil hettinger ret.,23
"alphonso gulgowski, josette nikolaus dc, mercedez welch",23
josue grady,23
"roland murray, selena schroeder",23
edith barrows,22
"dennis heaney, soledad hickle",22
elliot monahan,22
bobbie bernier,22
ambrose ankunding,22
billie ernser,21
adelia lind,21
antione o'reilly,21
emile koepp do,21
joana botsford,20
luigi parker,20
pres. ariel runte,20
jerry cormier,19
matthew turner,19
elane miller,19
"adell considine, leana feil, sen. vonnie jerde",19
"dylan upton, fredda brekke, mitch gusikowski, vernice emard",18
"cheree welch, dianne jakubowski",18
refugio zboncak phd,18
jae bogisich,18
"gov. boyce franecki, odell treutel",16
"cornell murazik, mr. terrell sawayn",16
gov. wally wintheiser,15
tyson beer,15
andreas mohr,15
anton toy,15
"darius mohr, kevin mayer, kimberely kutch, miss jesus pfannerstill",15
rev. alix langworth,15
"kirsten schaefer, mitch gusikowski",15
kathey gorczany,15
jerald raynor,14
msgr. leslie mcclure,14
sen. amber roberts,14
curtis rohan,13
"billie ernser, isabelle boehm, lamar kautzer, raymundo aufderhar",13
tegan runolfsdottir,13
haywood wyman,13
"farah rohan ii, mitch gusikowski",12
tory dare v,11
"leighann o'connell, travis von",11
"guadalupe batz ret., malorie glover, paula rolfson",10
alysa pouros esq.,10
tomasa kozey,10
freddie weissnat,9
shelby willms iv,9
joe schultz,8
manuel murray,5
